"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nras",1.34761213951387e-06,1.47676020885931,0.039,0.019,0.0328574791856271,"GCL","Nras"
"C1ra",1.35375454497913e-06,2.83594631467814,0.014,0.003,0.0330072433156812,"GCL","C1ra"
"Bcl3",1.37943200836932e-06,2.82675875370403,0.014,0.003,0.0336333112280607,"GCL","Bcl3"
"Edem1",1.40136783650013e-06,2.00526130367916,0.024,0.009,0.0341681505895461,"GCL","Edem1"
"Cmklr1",1.40546100072382e-06,3.39062512394058,0.012,0.002,0.0342679501196482,"GCL","Cmklr1"
"Zbp1",1.44927294120155e-06,2.95377935071753,0.013,0.002,0.0353361728523763,"GCL","Zbp1"
"Acp5",1.51760013590766e-06,2.47290889174968,0.013,0.002,0.0370021265137005,"GCL","Acp5"
"Hrk",1.62038202036174e-06,3.24516137988523,0.011,0.001,0.0395081544204599,"GCL","Hrk"
"BC030500",1.63861140461508e-06,-2.25164530338024,0.002,0.011,0.0399526232673249,"GCL","BC030500"
"Zdhhc22",1.70617653850662e-06,-1.06277250864806,0.024,0.045,0.0415999963618685,"GCL","Zdhhc22"
"Mafb",1.71517083114855e-06,1.3943561724119,0.041,0.02,0.0418192952050639,"GCL","Mafb"
"Clec4a1",1.73006858166961e-06,2.66553151382239,0.015,0.004,0.0421825321582684,"GCL","Clec4a1"
"Mapkapk2",1.77669315214062e-06,1.12054996613997,0.063,0.037,0.0433193324354925,"GCL","Mapkapk2"
"Rac2",1.7792057108416e-06,4.49374801141132,0.01,0.001,0.0433805936417398,"GCL","Rac2"
"Adamts5",1.79365518882999e-06,1.89292450539356,0.029,0.012,0.0437329008140528,"GCL","Adamts5"
"Efemp1",1.84282867387596e-06,1.24487811000303,0.044,0.023,0.0449318487264436,"GCL","Efemp1"
"Tmem231",1.89679984885161e-06,-1.25864768180665,0.01,0.024,0.0462477739147,"GCL","Tmem231"
"Tm7sf2",1.93643566649778e-06,-1.17753704025955,0.012,0.028,0.0472141744205489,"GCL","Tm7sf2"
"Smarcd3",1.96569542880539e-06,-1.10827536136171,0.013,0.03,0.0479275859451331,"GCL","Smarcd3"
"Maneal",2.02091874750309e-06,-1.01487532115322,0.018,0.036,0.0492740409016205,"GCL","Maneal"
"Pcdh15",2.02284786555679e-06,1.16462447922917,0.073,0.046,0.0493210766580056,"GCL","Pcdh15"
