Samples,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
M299_Taurochenodesoxycholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M300_Taurocholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M302_Taurolithocholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M303_Ursodeoxycholic acid_ss#,0.007,0.026,0,0.036,0.005,0.008,0.012,0,0,0.029,0.012,0,0,0,0,0.025,0,0.044,0.009,0,0,0,0.004,0.001,0,0.008,0,0.008,0
M306_Thiamine monophosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M307_2'-Deoxyguanosine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M308_Malonyl CoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M309_R-2-Hydroxy-2-phenylpropionic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M310_D-Citramalic acid,0.325,0.254,0.322,0.459,0.317,0.268,0.44,0.339,0.281,0.462,0.228,0.431,0.302,0.217,0.279,0.249,0.459,0.51,0.279,0.343,0.212,0.344,0.326,0.209,0.505,0.514,0.409,0.372,0.386
M311_L-Homocysteic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M312_Serine_new,10.45,6.336,9.323,5.024,5.91,16.358,5.958,5.764,15.9,6.858,5.254,1.898,14.441,5.909,5.911,5.769,5.458,6.895,10.581,6.632,7.173,4.882,5.57,4.644,9.488,4.266,6.728,5.719,5.378
M314_CDP-ethanolamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M315_p-cresyl sulfate,0.139,0.717,0.37,0.236,0.108,0.116,0.467,0.131,0.17,0.486,0.069,0.082,0.191,0.019,0.213,0.871,0.426,0.267,0.128,0.002,0.164,0.67,2.289,0.879,0.248,0.434,0.037,0.068,0.035
M316_Glycolithocholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M317_Dihydro thymine,0.082,0.072,0.088,0.034,0.042,0.143,0.065,0.036,0.173,0.069,0.038,0.04,0.136,0.054,0.055,0.053,0.072,0.045,0.138,0.06,0.042,0.042,0.038,0.038,0.096,0.036,0.055,0.052,0.036
M318_Alpha-N-Phenylacetyl- L-glutamine,0.409,1.128,0.48,0.46,0.274,0.248,1.327,0.298,0.338,0.858,0.318,0.196,0.443,0.049,0.43,1.639,1.077,0.499,0.271,0.272,0.269,1.53,1.786,1.686,0.446,1.02,0.271,0.15,0.07
M319_N-Phenylacetylglycine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M327_Lithocholic acid_ss,0,0,0,0,0,0,0.581,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M328_ Linoleyl Carnitine#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0
M329_C5:0 Carnitine  (Valeryl-L carnitine)#,0.07,0.24,0.03,0.161,0.19,0.044,0.291,0.193,0.081,0.148,0.36,0.121,0.043,0.168,0.172,0.287,0.433,0.13,0.121,0.236,0.204,0.209,0.376,0.198,0.131,0.163,0.23,0.157,0.145
M330_C12:0 Carnitine  (Lauroyl-L carnitine)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M331_C16:0 Carnitine  (Palmitoyl-L carnitine)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M341_C14 Carnitine (Myristoyl-L-carnitine)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M342_C3 Carnitine (Propionyl-L-carnitine),0.305,0.318,0.12,0.124,0.196,0.158,0.251,0.204,0.12,0.192,0.108,0.11,0.048,0.143,0.188,0.342,0.43,0.108,0.329,0.287,0.147,0.138,0.268,0.294,0.233,0.062,0.128,0.205,0.036
M343_C8 Carnitine (Octanoyl-L-carnitine)#,0,0.001,0.001,0,0,0,0.001,0,0,0.005,0.003,0,0,0,0.001,0.007,0.005,0,0,0.013,0.002,0.014,0.039,0.007,0.003,0.001,0.001,0.002,0.001
M344_C10 Carnitine (Decanoyl-L-carnitine)#,0.009,0.013,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0.002,0,0.002,0.007,0,0.005,0,0,0,0
M345_C4-OH Carnitine (Malonyl-L-carnitine),0.034,0.046,0.02,0.02,0.021,0.019,0.033,0.013,0.011,0.03,0.029,0.024,0.009,0.017,0.032,0.055,0.03,0.021,0.015,0.023,0.021,0.022,0.076,0.031,0.034,0.023,0.015,0.017,0.018
M346_C18 Carnitine (Stearoyl-L-carnitine)#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M351_6-phosphogluconate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M352_GAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M353_Nicotinic acid adenine dinucleotide_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M354_Nicotinic acid mononucleotide,1.373,1.996,1.132,2.259,2.104,0.359,0.612,1.531,0.8,0.887,1.083,0.401,0,0.363,0.564,0.358,0.5,0.73,0.141,0.117,0.122,0.852,0.059,0.134,0.115,0,0.253,0.02,0.137
M355_Nicotinic acid riboside,0.003,0.006,0,0.011,0.01,0,0.014,0.01,0.005,0.009,0.039,0.149,0.001,0.014,0.009,0.012,0.019,0.011,0.003,0.015,0.028,0.01,0.015,0.008,0.005,0.014,0.015,0.011,0.007
