	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0032760	GO:0032760	positive regulation of tumor necrosis factor production	23/303	121/28928	0.190082645	18.14756021	19.44671591	1.65E-22	2.08E-20	1.14E-20	Fcer1g/Cybb/Tyrobp/Fcgr3/Ptprc/Thbs1/Csf1r/Cyba/Ccl2/Ccr5/Fcgr2b/Ccr2/Ptafr/Wnt5a/Adam17/Cd14/Cd84/Ifngr1/Arid5a/Syk/Sash3/Myd88/Tlr2	23	up
GO:1903557	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	23/303	123/28928	0.18699187	17.85247793	19.27004139	2.46E-22	3.00E-20	1.64E-20	Fcer1g/Cybb/Tyrobp/Fcgr3/Ptprc/Thbs1/Csf1r/Cyba/Ccl2/Ccr5/Fcgr2b/Ccr2/Ptafr/Wnt5a/Adam17/Cd14/Cd84/Ifngr1/Arid5a/Syk/Sash3/Myd88/Tlr2	23	up
GO:0002366	GO:0002366	leukocyte activation involved in immune response	33/303	339/28928	0.097345133	9.293729373	15.80339849	3.39E-22	4.01E-20	2.19E-20	Fcer1g/Grn/Itgam/Lcp1/Tyrobp/Coro1a/Lgals1/Pf4/Ptprc/Lgals3/Ccr2/Clec4d/Slfn2/Sbno2/Lilrb4a/Itgb2/Ptpn6/Nckap1l/Bcl3/Ptafr/Clec4e/Fcgr4/Dock2/Cd84/Trem2/Syk/Fgr/Cbl/Hmox1/Irf8/Myd88/Myo1f/Spi1	33	up
GO:0002263	GO:0002263	cell activation involved in immune response	33/303	343/28928	0.096209913	9.185347689	15.68972595	4.90E-22	5.63E-20	3.07E-20	Fcer1g/Grn/Itgam/Lcp1/Tyrobp/Coro1a/Lgals1/Pf4/Ptprc/Lgals3/Ccr2/Clec4d/Slfn2/Sbno2/Lilrb4a/Itgb2/Ptpn6/Nckap1l/Bcl3/Ptafr/Clec4e/Fcgr4/Dock2/Cd84/Trem2/Syk/Fgr/Cbl/Hmox1/Irf8/Myd88/Myo1f/Spi1	33	up
GO:0002237	GO:0002237	response to molecule of bacterial origin	38/303	494/28928	0.076923077	7.343995938	14.63213352	8.77E-22	9.78E-20	5.34E-20	Pf4/Cebpb/Il1b/Serpine1/Ccl2/Ccr5/Sirpa/Fcgr2b/Abca1/Acod1/Cd68/Mrc1/Nfkbia/S100a8/Sbno2/Lilrb4a/Ptafr/Irf5/Fcgr4/Wnt5a/Adam17/Stat1/Cd14/Litaf/Ncf2/Cd84/Arid5a/Slpi/Il10ra/Trem2/Ass1/Cxcl16/Irf8/Fosl2/Myd88/Tlr2/Cxcl10/Spi1	38	up
GO:0030100	GO:0030100	regulation of endocytosis	33/303	355/28928	0.092957746	8.874857063	15.35957504	1.44E-21	1.57E-19	8.55E-20	C3/Fcer1g/Grem1/Fcgr3/Myh9/Serpine1/Ptprc/Cyba/Lgals3/Ccl2/Cfp/Sirpa/Fcgr2b/Fcgr1/Sdcbp/Nckap1l/Arrb2/Ptpn1/Pros1/Tgm2/Wnt5a/Dock2/Hck/Cd14/Cd300lf/Apoc2/Trem2/Syk/Fgr/Cbl/Dab2/Tlr2/Fpr2	33	up
GO:0050729	GO:0050729	positive regulation of inflammatory response	24/303	155/28928	0.15483871	14.78275311	17.7014775	3.24E-21	3.41E-19	1.87E-19	Ctss/C3/Fcer1g/Grn/Ctsc/Lgals1/Fcgr3/Cebpb/Il1b/Serpine1/Csf1r/Ccr5/S100a9/Fcgr1/Ccr2/Nfkbia/Alox5ap/S100a8/Wnt5a/Zbp1/Trem2/Gpsm3/Tlr2/Ccl5	24	up
GO:0019882	GO:0019882	antigen processing and presentation	23/303	138/28928	0.166666667	15.9119912	18.0656925	3.89E-21	3.99E-19	2.18E-19	Ctss/H2-K1/H2-D1/Lgmn/Mpeg1/Fcer1g/Fcgr3/Unc93b1/Thbs1/Fcgr2b/H2-Ab1/Fcgr1/Cd68/Psmb8/H2-Aa/Fcgr4/Clec4a3/Clec4a2/H2-Q7/Trem2/Rab8b/Rftn1/Wdfy4	23	up
GO:0050764	GO:0050764	regulation of phagocytosis	22/303	123/28928	0.178861789	17.07628324	18.38249809	5.70E-21	5.71E-19	3.12E-19	C3/Fcer1g/Fcgr3/Myh9/Ptprc/Cyba/Ccl2/Cfp/Sirpa/Fcgr2b/Fcgr1/Nckap1l/Pros1/Tgm2/Dock2/Hck/Cd300lf/Trem2/Syk/Fgr/Tlr2/Fpr2	22	up
GO:0002573	GO:0002573	myeloid leukocyte differentiation	30/303	292/28928	0.102739726	9.808761698	15.56504478	6.10E-21	5.95E-19	3.25E-19	Fcer1g/Itgam/C1qc/Tyrobp/Cebpb/Myh9/Pirb/Csf1r/Ccl9/Mafb/Sbno2/Lilrb4a/Inpp5d/Junb/Hcls1/Nrros/Ifi207/Cd300lf/Trem2/Runx1/Fosl2/Myd88/Tlr2/Ccr1/Spi1/Ccl5/Rbpj/Evi2/Ifi209/Ikzf1	30	up
GO:0001906	GO:0001906	cell killing	30/303	295/28928	0.101694915	9.709011579	15.468447	8.19E-21	7.79E-19	4.26E-19	Lyz2/C3/H2-K1/H2-D1/Itgam/Ctsc/Tyrobp/Coro1a/Fcgr3/Arg1/Ptprc/Lgals3/Ccl2/Ccr5/Fcgr2b/Fcgr1/Ptpn6/Nckap1l/Arrb2/Fcgr4/Ncf1/H2-Q7/Pnp/Stx7/Ccl8/Syk/Vav1/Myd88/Cxcl10/Spi1	30	up
GO:0002833	GO:0002833	positive regulation of response to biotic stimulus	35/303	434/28928	0.080645161	7.69935058	14.46775429	8.59E-21	7.98E-19	4.36E-19	Grn/Tyrobp/Arg1/Unc93b1/Cyba/S100a9/Acod1/Nfkbia/S100a8/Arrb2/Clec4e/Wnt5a/Irf7/Zbp1/Ifi207/Pik3ap1/Cd14/Cd300lf/Rsad2/Trem2/Syk/Vav1/Mmp12/Myd88/Tlr2/Slc15a3/Emilin2/Znrf1/Clec4n/Ifi204/Spi1/Ifi211/Fpr2/Rftn1/Ifi209	35	up
GO:0050867	GO:0050867	positive regulation of cell activation	34/303	407/28928	0.083538084	7.9755435	14.58119594	1.04E-20	9.47E-19	5.17E-19	Ctsc/Tyrobp/Mmp14/Coro1a/Lgals1/Il1b/Aif1/Ptprc/Thbs1/Csf1r/Ccl2/Vcam1/Sirpa/H2-Ab1/Ccr2/Clec4d/Plek/Lilrb4a/Cd38/Nckap1l/Inpp5d/H2-Aa/Wnt5a/Pnp/Trem2/Runx1/Syk/Vsir/Sash3/Vav1/Myd88/Dock8/Spi1/Ccl5	34	up
GO:0002696	GO:0002696	positive regulation of leukocyte activation	33/303	383/28928	0.08616188	8.226042448	14.64654317	1.53E-20	1.36E-18	7.44E-19	Ctsc/Tyrobp/Mmp14/Coro1a/Lgals1/Il1b/Aif1/Ptprc/Thbs1/Csf1r/Ccl2/Vcam1/Sirpa/H2-Ab1/Ccr2/Clec4d/Lilrb4a/Cd38/Nckap1l/Inpp5d/H2-Aa/Wnt5a/Pnp/Trem2/Runx1/Syk/Vsir/Sash3/Vav1/Myd88/Dock8/Spi1/Ccl5	33	up
GO:0050921	GO:0050921	positive regulation of chemotaxis	24/303	169/28928	0.142011834	13.55814635	16.84543639	2.67E-20	2.31E-18	1.26E-18	Fn1/Lgmn/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl2/Ccr2/P2rx4/Nckap1l/Wnt5a/Adam17/Cmklr1/Trem2/Gpsm3/Ccl7/Cxcl10/Ccr1/Spi1/Ccl5/Fpr2	24	up
GO:0002690	GO:0002690	positive regulation of leukocyte chemotaxis	21/303	115/28928	0.182608696	17.43400775	18.16763652	2.86E-20	2.43E-18	1.33E-18	Lgmn/Il1b/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Ccl2/Ccr2/Nckap1l/Wnt5a/Adam17/Cmklr1/Gpsm3/Ccl7/Cxcl10/Ccr1/Spi1/Ccl5/Fpr2	21	up
GO:0032675	GO:0032675	regulation of interleukin-6 production	24/303	173/28928	0.138728324	13.24466319	16.61932856	4.69E-20	3.90E-18	2.13E-18	Fcer1g/Laptm5/Tyrobp/Cebpb/Il1b/Aif1/Unc93b1/Cyba/Ccr5/Sirpa/Lilrb4a/Ptpn6/Nckap1l/Inpp5d/Arrb2/Ptafr/Wnt5a/Cd84/Arid5a/Trem2/Syk/Pou2f2/Myd88/Tlr2	24	up
GO:0045765	GO:0045765	regulation of angiogenesis	30/303	319/28928	0.094043887	8.978553028	14.74240721	7.72E-20	6.27E-18	3.43E-18	C3/Grn/Cybb/Grem1/Pf4/Il1b/C3ar1/Serpine1/Btg1/Thbs1/Lgals3/Ccl2/Stab1/Ccr2/Ecm1/Itgb2/Ptpn6/Tgm2/Wnt5a/Stat1/Runx1/Plxnd1/Hmox1/Emilin2/Cxcl10/Ccl5/Mmp9/Lrg1/Sfrp2/Tnfrsf12a	30	up
GO:0071219	GO:0071219	cellular response to molecule of bacterial origin	31/303	349/28928	0.088825215	8.480316226	14.46469969	9.71E-20	7.73E-18	4.22E-18	Pf4/Cebpb/Il1b/Serpine1/Ccl2/Ccr5/Sirpa/Fcgr2b/Abca1/Acod1/Cd68/Mrc1/Nfkbia/Sbno2/Lilrb4a/Ptafr/Fcgr4/Wnt5a/Stat1/Cd14/Litaf/Cd84/Arid5a/Trem2/Ass1/Cxcl16/Irf8/Myd88/Tlr2/Cxcl10/Spi1	31	up
