	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0001933	BP	GO:0001933	negative regulation of protein phosphorylation	19/364	316/28928	0.060126582	4.778411462	7.623801157	2.45E-08	3.57E-07	2.13E-07	Il1b/Ptprc/Socs3/Irf1/Xdh/Lilrb4a/Parp14/Arrb2/Rgs2/Lyn/Sirpa/Jun/Slc8a1/Sema4d/Ptprj/Ptpn6/Ntf3/Errfi1/Samsn1	19	up
GO:1903556	BP	GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	10/364	73/28928	0.136986301	10.8866476	9.54756937	2.70E-08	3.92E-07	2.35E-07	Lilrb4a/Bcl3/Clec4a2/Vsir/Arrb2/Sirpa/Clec4a3/Trem2/Ptpn6/Errfi1	10	up
GO:0010563	BP	GO:0010563	negative regulation of phosphorus metabolic process	21/364	388/28928	0.054123711	4.301348136	7.390487387	2.78E-08	4.00E-07	2.39E-07	Il1b/Ptprc/Socs3/Plek/Irf1/Xdh/Lilrb4a/Parp14/Arrb2/Rgs2/Lyn/Sirpa/Jun/Birc3/Slc8a1/Sema4d/Ptprj/Ptpn6/Ntf3/Errfi1/Samsn1	21	up
GO:0045936	BP	GO:0045936	negative regulation of phosphate metabolic process	21/364	388/28928	0.054123711	4.301348136	7.390487387	2.78E-08	4.00E-07	2.39E-07	Il1b/Ptprc/Socs3/Plek/Irf1/Xdh/Lilrb4a/Parp14/Arrb2/Rgs2/Lyn/Sirpa/Jun/Birc3/Slc8a1/Sema4d/Ptprj/Ptpn6/Ntf3/Errfi1/Samsn1	21	up
GO:0090026	BP	GO:0090026	positive regulation of monocyte chemotaxis	7/364	27/28928	0.259259259	20.6039886	11.50436801	3.37E-08	4.83E-07	2.89E-07	Ccr2/Lgmn/Ccl2/Cxcl10/Aif1/Ccr1/Pla2g7	7	up
GO:0007249	BP	GO:0007249	canonical NF-kappaB signal transduction	18/364	291/28928	0.06185567	4.915826442	7.578775575	3.73E-08	5.33E-07	3.19E-07	Saa3/Il1b/Cd74/Clec4d/Irf1/Lilrb4a/Bcl3/Stat1/Arrb2/S100a4/Sirpa/Litaf/Clec4n/Trem2/Gbp7/Irgm1/Tlr2/Map3k14	18	up
GO:0002673	BP	GO:0002673	regulation of acute inflammatory response	9/364	57/28928	0.157894737	12.54829381	9.851836972	3.79E-08	5.39E-07	3.23E-07	Il1b/Fcer1g/Fcgr3/Ccr5/Fcgr2b/Ptgs2/Alox5ap/Fcgr1/C3	9	up
GO:0046632	BP	GO:0046632	alpha-beta T cell differentiation	13/364	145/28928	0.089655172	7.125123153	8.346870486	4.15E-08	5.89E-07	3.53E-07	Ctsl/Ccr2/Pf4/Psap/Lgals1/Irf1/Lilrb4a/Bcl3/Rsad2/Il4ra/Runx1/Nckap1l/Syk	13	up
GO:0002468	BP	GO:0002468	dendritic cell antigen processing and presentation	6/364	17/28928	0.352941176	28.04912734	12.59328522	4.19E-08	5.90E-07	3.53E-07	Cd74/Mpeg1/Thbs1/Clec4a2/Clec4a3/Cd68	6	up
GO:0034134	BP	GO:0034134	toll-like receptor 2 signaling pathway	6/364	17/28928	0.352941176	28.04912734	12.59328522	4.19E-08	5.90E-07	3.53E-07	Acod1/Cyba/Lyn/Trem2/Pik3ap1/Tlr2	6	up
GO:0006887	BP	GO:0006887	exocytosis	21/364	399/28928	0.052631579	4.182764604	7.226709051	4.47E-08	6.28E-07	3.76E-07	Fcer1g/Ccr2/Coro1a/Itgam/Itgb2/Plek/Fgr/Kcnh1/Il4ra/Ccr1/Ccl8/Lyn/Ptafr/Tnfaip2/Nckap1l/Myo1f/Rab8b/Cd84/Steap3/Syk/Hck	21	up
GO:0008360	BP	GO:0008360	regulation of cell shape	13/364	146/28928	0.089041096	7.076320939	8.309014661	4.51E-08	6.28E-07	3.76E-07	Csf1r/Coro1a/Msn/Fgr/Ccl7/Cfl1/Lst1/Arhgap15/Icam1/Sema4d/Hck/Plekho1/Plxnc1	13	up
GO:0045621	BP	GO:0045621	positive regulation of lymphocyte differentiation	13/364	146/28928	0.089041096	7.076320939	8.309014661	4.51E-08	6.28E-07	3.76E-07	Cd74/Ccr2/Ptprc/H2-Aa/Mmp14/Irf1/Lilrb4a/Il4ra/Vsir/Runx1/Inpp5d/Nckap1l/Syk	13	up
GO:0043277	BP	GO:0043277	apoptotic cell clearance	8/364	42/28928	0.19047619	15.13762428	10.35023606	4.73E-08	6.56E-07	3.93E-07	Ccr2/Tyrobp/Ccl2/Thbs1/C3/Cd300lf/Trem2/Trex1	8	up
GO:0002708	BP	GO:0002708	positive regulation of lymphocyte mediated immunity	14/364	174/28928	0.08045977	6.394341291	8.056692485	4.95E-08	6.84E-07	4.09E-07	H2-K1/B2m/Il1b/H2-D1/Fcer1g/Fcgr3/Ptprc/Fcgr1/H2-Q7/Rsad2/C3/Vav1/Trem2/Arid5a	14	up
GO:0045069	BP	GO:0045069	regulation of viral genome replication	11/364	100/28928	0.11	8.741978022	8.754625137	5.62E-08	7.72E-07	4.62E-07	Isg15/Ifitm3/Ifitm1/Bst2/Ifi207/Rsad2/Oasl2/Mndal/Gbp7/Ifi203/Slpi	11	up
GO:0070372	BP	GO:0070372	regulation of ERK1 and ERK2 cascade	19/364	333/28928	0.057057057	4.534468534	7.323084804	5.62E-08	7.72E-07	4.62E-07	Il1b/Cd74/Csf1r/Ptprc/Cd44/C3/Ccr1/Dab2/Arrb2/Lyn/Sirpa/Jun/Trem2/Icam1/P2ry6/Tlr2/Syk/Ptpn6/Errfi1	19	up
GO:0002446	BP	GO:0002446	neutrophil mediated immunity	8/364	43/28928	0.186046512	14.78558651	10.21212606	5.75E-08	7.87E-07	4.71E-07	Arg1/Itgam/Itgb2/Cxcl5/Ncf1/Ptafr/Myo1f/Syk	8	up
GO:0046635	BP	GO:0046635	positive regulation of alpha-beta T cell activation	10/364	80/28928	0.125	9.934065934	9.032940915	6.63E-08	9.04E-07	5.41E-07	Ccr2/Ptprc/Irf1/Lilrb4a/Il4ra/Runx1/Nckap1l/Irgm1/Syk/Jak2	10	up
GO:0051235	BP	GO:0051235	maintenance of location	20/364	372/28928	0.053763441	4.272716531	7.17173198	6.66E-08	9.04E-07	5.41E-07	Il1b/Cemip/Coro1a/Ptprc/Srgn/Ccr5/Cyba/Cxcl10/Msr1/C3/Hexa/Mest/Lyn/Sp100/Rnf213/Trem2/Slc8a1/P2ry6/Nrros/Ptpn6	20	up
GO:0001961	BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	9/364	61/28928	0.147540984	11.72545487	9.46613489	6.98E-08	9.46E-07	5.66E-07	Cd74/Laptm5/Mmp12/Zbp1/Irf7/Cd300lf/Parp14/Trem2/Irgm1	9	up
