	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Kpna4	3.59E-05	0.42379778	0.052	0.04	0.875449353	RIR	Kpna4
Gas7	3.76E-05	0.560830718	0.021	0.014	0.916864464	RIR	Gas7
Necab1	3.84E-05	-1.45912444	0.009	0.014	0.936547888	RIR	Necab1
Plxnd1	3.88E-05	0.803097586	0.015	0.008	0.946055981	RIR	Plxnd1
Gpx4	3.91E-05	-0.448655658	0.098	0.114	0.953613917	RIR	Gpx4
Bach1	3.97E-05	0.40084244	0.023	0.015	0.966789236	RIR	Bach1
Ifnar1	3.98E-05	0.472138229	0.016	0.009	0.971208162	RIR	Ifnar1
Eva1a	4.02E-05	-1.357015212	0.01	0.016	0.979759837	RIR	Eva1a
Mrpl52	4.04E-05	-0.473237269	0.097	0.113	0.985473344	RIR	Mrpl52
Lhfp	4.08E-05	0.332966012	0.052	0.04	0.994709589	RIR	Lhfp
Crispld2	4.11E-05	-0.623761792	0.03	0.04	1	RIR	Crispld2
Synj1	4.17E-05	0.377131524	0.032	0.022	1	RIR	Synj1
Anxa1	4.17E-05	-0.246644373	0.277	0.293	1	RIR	Anxa1
Coro1b	4.20E-05	0.156853826	0.077	0.062	1	RIR	Coro1b
Uba7	4.20E-05	0.592217525	0.024	0.015	1	RIR	Uba7
Mtm1	4.34E-05	0.695598857	0.011	0.006	1	RIR	Mtm1
Sec24d	4.37E-05	0.611935743	0.023	0.015	1	RIR	Sec24d
Rnf111	4.54E-05	0.638040829	0.033	0.024	1	RIR	Rnf111
Gmip	4.62E-05	1.270219081	0.01	0.005	1	RIR	Gmip
H2-T22	4.63E-05	0.456634283	0.029	0.02	1	RIR	H2-T22
Serpinb1a	4.63E-05	0.456616057	0.043	0.032	1	RIR	Serpinb1a
Capza2	4.64E-05	0.134660465	0.094	0.078	1	RIR	Capza2
Fbxl7	4.64E-05	0.449552395	0.03	0.021	1	RIR	Fbxl7
Dsg3	4.66E-05	0.248544356	0.116	0.097	1	RIR	Dsg3
Tns2	4.71E-05	-0.723794247	0.019	0.027	1	RIR	Tns2
Aak1	4.72E-05	0.11016014	0.081	0.066	1	RIR	Aak1
Uqcrh	4.94E-05	-0.412824206	0.143	0.16	1	RIR	Uqcrh
Eif4g3	5.01E-05	0.211939477	0.088	0.072	1	RIR	Eif4g3
Ap1b1	5.47E-05	0.466306823	0.047	0.036	1	RIR	Ap1b1
Neu1	5.49E-05	0.535501668	0.02	0.013	1	RIR	Neu1
Slc25a48	5.52E-05	0.184488012	0.041	0.03	1	RIR	Slc25a48
Bc1	5.52E-05	-0.494159952	0.039	0.05	1	RIR	Bc1
Gpr107	5.78E-05	0.469238838	0.034	0.025	1	RIR	Gpr107
Stk3	5.82E-05	0.507730771	0.042	0.032	1	RIR	Stk3
Baz1a	6.05E-05	0.435513128	0.034	0.024	1	RIR	Baz1a
Xpo6	6.14E-05	0.217809402	0.03	0.021	1	RIR	Xpo6
Ddx21	6.26E-05	0.748340003	0.031	0.022	1	RIR	Ddx21
Ttr	6.30E-05	-0.510677592	0.176	0.192	1	RIR	Ttr
Zfand3	6.34E-05	0.288724863	0.082	0.068	1	RIR	Zfand3
Arid5b	6.40E-05	0.306659436	0.069	0.055	1	RIR	Arid5b
Syngr2	6.50E-05	0.473906942	0.058	0.045	1	RIR	Syngr2
Ctns	6.56E-05	0.392469571	0.013	0.007	1	RIR	Ctns
Ascc3	6.60E-05	0.383680756	0.035	0.026	1	RIR	Ascc3
Ndufs6	6.65E-05	-0.382415852	0.079	0.093	1	RIR	Ndufs6
Zfp36l2	6.66E-05	0.194590588	0.102	0.085	1	RIR	Zfp36l2
Atp1b3	6.81E-05	-0.249460434	0.248	0.264	1	RIR	Atp1b3
Retreg3	6.85E-05	0.239009206	0.048	0.036	1	RIR	Retreg3
Actr2	6.95E-05	0.255860192	0.123	0.106	1	RIR	Actr2
Galnt2	7.05E-05	0.318095291	0.034	0.025	1	RIR	Galnt2
Clic1	7.16E-05	0.162382145	0.247	0.222	1	RIR	Clic1
Epop	7.17E-05	-1.033048321	0.018	0.026	1	RIR	Epop
Peli1	7.50E-05	0.338197917	0.032	0.023	1	RIR	Peli1
Pdgfra	7.57E-05	0.573337676	0.034	0.024	1	RIR	Pdgfra
Dynll1	7.59E-05	-0.340365138	0.133	0.149	1	RIR	Dynll1
Fhad1	7.62E-05	-1.098495011	0.006	0.011	1	RIR	Fhad1
Ptgis	7.66E-05	-0.458853442	0.029	0.039	1	RIR	Ptgis
Nrp2	7.74E-05	0.302379754	0.041	0.03	1	RIR	Nrp2
Gpatch2l	7.75E-05	0.664618849	0.017	0.01	1	RIR	Gpatch2l
BC005537	7.81E-05	0.411753117	0.087	0.072	1	RIR	BC005537
Cbr1	7.84E-05	-0.812295458	0.021	0.029	1	RIR	Cbr1
Mbp	8.03E-05	0.166415554	0.062	0.049	1	RIR	Mbp
Tmem87a	8.08E-05	0.233138659	0.034	0.025	1	RIR	Tmem87a
Rab31	8.09E-05	0.48970436	0.024	0.016	1	RIR	Rab31
Fam135a	8.13E-05	0.194064427	0.038	0.028	1	RIR	Fam135a
Rassf2	8.13E-05	0.587257721	0.015	0.009	1	RIR	Rassf2
Rap1gds1	8.19E-05	0.385957374	0.046	0.035	1	RIR	Rap1gds1
