	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Fam49b	2.14E-11	1.57061488	0.064	0.022	5.23E-07	RIR	Fam49b
Efhd2	2.27E-11	1.239943615	0.088	0.038	5.53E-07	RIR	Efhd2
Hes1	2.58E-11	-1.383280662	0.04	0.081	6.29E-07	RIR	Hes1
Sned1	2.72E-11	-0.463128536	0.151	0.219	6.63E-07	RIR	Sned1
Slc7a11	2.73E-11	1.301908858	0.087	0.038	6.65E-07	RIR	Slc7a11
H3f3a	2.79E-11	0.416628663	0.289	0.205	6.79E-07	RIR	H3f3a
Reln	2.84E-11	-0.948596214	0.108	0.167	6.92E-07	RIR	Reln
Ms4a4c	3.21E-11	9.464050738	0.025	0	7.83E-07	RIR	Ms4a4c
Inpp5d	3.28E-11	3.941714097	0.034	0.004	8.00E-07	RIR	Inpp5d
Ywhah	3.96E-11	1.221553247	0.093	0.042	9.66E-07	RIR	Ywhah
Junb	4.09E-11	2.344520601	0.063	0.022	9.98E-07	RIR	Junb
Pld4	4.65E-11	4.319615642	0.03	0.002	1.13E-06	RIR	Pld4
Bcl2a1b	4.76E-11	4.725522183	0.031	0.003	1.16E-06	RIR	Bcl2a1b
Cd44	5.03E-11	0.30234737	0.495	0.386	1.23E-06	RIR	Cd44
Emp1	5.33E-11	0.415125603	0.234	0.159	1.30E-06	RIR	Emp1
Ptbp3	5.62E-11	1.146992014	0.073	0.029	1.37E-06	RIR	Ptbp3
Igsf6	5.73E-11	4.280737853	0.031	0.003	1.40E-06	RIR	Igsf6
Ifitm2	6.79E-11	0.608660076	0.108	0.053	1.66E-06	RIR	Ifitm2
Arrb2	7.18E-11	2.346398973	0.047	0.012	1.75E-06	RIR	Arrb2
Ptpn1	7.25E-11	2.181655198	0.048	0.012	1.77E-06	RIR	Ptpn1
Rbm3	7.62E-11	0.904364355	0.138	0.079	1.86E-06	RIR	Rbm3
Plekha7	7.78E-11	-1.220534258	0.044	0.085	1.90E-06	RIR	Plekha7
Pmepa1	7.80E-11	0.938816139	0.075	0.03	1.90E-06	RIR	Pmepa1
Prex1	8.00E-11	1.990090314	0.05	0.014	1.95E-06	RIR	Prex1
Cox4i1	8.41E-11	-0.815627464	0.278	0.342	2.05E-06	RIR	Cox4i1
Rab27b	8.48E-11	-1.529604133	0.038	0.076	2.07E-06	RIR	Rab27b
Il4ra	9.17E-11	0.668407844	0.034	0.005	2.23E-06	RIR	Il4ra
Bcl3	1.04E-10	4.002289137	0.03	0.003	2.53E-06	RIR	Bcl3
Eef1b2	1.07E-10	0.381394536	0.185	0.116	2.61E-06	RIR	Eef1b2
Ptafr	1.07E-10	4.225022098	0.027	0.001	2.61E-06	RIR	Ptafr
Man2a1	1.08E-10	1.828011068	0.048	0.013	2.64E-06	RIR	Man2a1
Fhdc1	1.10E-10	-1.303137554	0.023	0.054	2.69E-06	RIR	Fhdc1
