	ID	Description	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneRatio	Regions
GO:0120254	GO:0120254	olefinic compound metabolic process	194/28928	0.020618557	45.88104679	13.299263	1.34E-06	5.17E-05	2.64E-05	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
GO:0042445	GO:0042445	hormone metabolic process	270/28928	0.014814815	32.96638177	11.18959069	4.97E-06	0.000172836	8.84E-05	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
GO:0003012	GO:0003012	muscle system process	460/28928	0.02826087	40.87652174	22.67646633	2.46E-19	6.43E-17	3.75E-17	Acta1/Actc1/Atp2a1/Myh1/Myh2/Myh4/Myl1/Mylpf/Tcap/Tnnc2/Tnni2/Tnnt3/Ttn	13	0.65	Muscle
GO:0006936	GO:0006936	muscle contraction	329/28928	0.036474164	52.756231	24.83378062	4.45E-19	6.43E-17	3.75E-17	Actc1/Atp2a1/Myh1/Myh2/Myh4/Myl1/Mylpf/Tcap/Tnnc2/Tnni2/Tnnt3/Ttn	12	0.6	Muscle
GO:0006941	GO:0006941	striated muscle contraction	181/28928	0.044198895	63.92928177	22.33847238	2.37E-13	2.29E-11	1.33E-11	Actc1/Atp2a1/Myl1/Tcap/Tnnc2/Tnni2/Tnnt3/Ttn	8	0.4	Muscle
GO:0003009	GO:0003009	skeletal muscle contraction	47/28928	0.106382979	153.8723404	27.5885835	1.38E-10	1.00E-08	5.83E-09	Atp2a1/Tcap/Tnnc2/Tnni2/Tnnt3	5	0.25	Muscle
GO:0060048	GO:0060048	cardiac muscle contraction	136/28928	0.044117647	63.81176471	19.31222022	3.55E-10	2.05E-08	1.19E-08	Actc1/Atp2a1/Myl1/Tcap/Tnni2/Ttn	6	0.3	Muscle
GO:0050881	GO:0050881	musculoskeletal movement	64/28928	0.078125	113	23.59323124	6.83E-10	3.29E-08	1.92E-08	Atp2a1/Tcap/Tnnc2/Tnni2/Tnnt3	5	0.25	Muscle
GO:0050879	GO:0050879	multicellular organismal movement	68/28928	0.073529412	106.3529412	22.87760883	9.32E-10	3.85E-08	2.24E-08	Atp2a1/Tcap/Tnnc2/Tnni2/Tnnt3	5	0.25	Muscle
GO:0030239	GO:0030239	myofibril assembly	80/28928	0.0625	90.4	21.06116207	2.14E-09	7.72E-08	4.50E-08	Acta1/Actc1/Tcap/Tnnt3/Ttn	5	0.25	Muscle
GO:0060047	GO:0060047	heart contraction	246/28928	0.024390244	35.27804878	14.20157798	1.25E-08	4.01E-07	2.34E-07	Actc1/Atp2a1/Myl1/Tcap/Tnni2/Ttn	6	0.3	Muscle
GO:0003015	GO:0003015	heart process	256/28928	0.0234375	33.9	13.9073556	1.58E-08	4.57E-07	2.67E-07	Actc1/Atp2a1/Myl1/Tcap/Tnni2/Ttn	6	0.3	Muscle
